address,city,hotel_facilities,point_of_interest,property_name,property_type,room_type,hotel_rating
"15th Mile, N.H.21,Manali, District Kullu,Himachal Pradesh",Manali,Doctor on Call|Dry Cleaning|Laundry Service Available|Lobby|Parking Facilities Available|Gardens|Dance Performances (on demand)|Catering|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Kitchen available (home cook food on request)|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Taxi Services|Food Facility|Internet Access Free|Children's Park|Postal / Parcel Services| Cook Services|Air / Rail Booking|Courier Service|Guide / Sightseeing Service|Internet / Fax (Reception area only)|RO Water Purification System|Parking Facility|Internet Access|Restaurant|Room Service|Fire Exit Signs|Full Time Operation for All 7 Days|Porter Services Available|Security at All Hotel Entrances|Suites,Hadimba Temple|Naggar Village|Himalayan Nyingmapa Gompa|Tibetan Monasteries|Naggar|Van Vihar|Manali 1st Super Market|Manu Temple|Lady Willingdon Hospital|Chandrakhani Pass|Gadham Thekchhokling Gompa|Manali Bus Stand|Civil Hospital|Others|Arjun Gufa|Nehru Kund|Beas Kund|Club House,Baragarh Regency,Resort,Deluxe Room,4
"A-585, Sushant Lok-1 ,Near Iffco Chowk Metro Station, Gurgaon",Gurgaon,Airport Transfer Available / Surcharge|Banquet Facilities|Business Center |Currency Exchange|Doctor on Call|Health Club / Gym Facility Available|Laundry Service Available|Lift / Elevator|Lobby|Parking Facilities Available|Front Desk|Locker Facility|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Power Backup,Sushant Lok|Sahara Mall|Amity International School,Asian Suites A- 585,Guest House,Deluxe Room With Free WIFI,4.5
"Cobra Vaddo,Calungate Baga Road, Bardez, Calangute, Goa",Goa,Swimming Pool|Bar / Lounge |Laundry Service Available|Multi Cuisine Restaurant,"Anjuna Beach|Calangute Beach|Titos lane, baga|Baga Beach|Calangute Area|North Goa|Calangute Bus Stand|Candolim Beach",Bevvan Resort,Resort,Standard Room,2.5
Simsa,Manali,Doctor on Call|Dry Cleaning|Laundry Service Available|Parking Facilities Available|Local Tour / Travel Desk|Car Rental,The Mall|Tibetian Monastery|Vashisht Hot Baths|Jagatsuhk|Village Simsa|Chandrakhani Pass|Manali 1st Super Market,Apple Inn Cottage,Cottage,Deluxe Room,5
"8180 Street No.-6,Arakashan Road,Paharganj",Delhi,Internet Access - Surcharge|Laundry Service Available|Parking Facilities Available|Multi Cuisine Restaurant |Local Tour / Travel Desk|Medical Assistance Available|Power Backup,Gaffar Market|YMCA Institute|Agrasen Boali|Chandni Chowk|Shivaji Stadium|Paharganj|Jantar Mantar|Talkatora Indoor Stadium|Central Delhi|Ajmeri Gate|Karnail Singh Stadium,Anmol Hotel Pvt.Ltd,Hotel,Standard Room Non AC,2.8
"Baga Beach, Calangute, Goa",Goa,Airport Transfer Available / Surcharge|Bar / Lounge |Internet Access - Surcharge|Laundry Service Available|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Locker Facility|24 Hour Front Desk|Doorman|Power Backup|Newspapers In Lobby|Family Room|Room Service (24 Hours),"North Goa|Calangute Beach|Baga Area|Anjuna Beach|Titos lane, baga|Baga Beach|Calangute Bus Stand|Anjuna Beach Bus Stop",Baia Do Sol (A Boutique Beach Resort),Resort,Semi Deluxe,3.9
"K-69, Kalkaji",Delhi,Doctor on Call|Lobby|Front Desk|Power Backup|Internet Access Free|Newspapers In Lobby,Tughlakabad Fort|South Delhi|Masjid Moth|IIBMS|Lotus Temple|District Court Saket|Lajpat Nagar Market|Indraprastha Apollo Hospitals|Jamia Millia Islamia|Moolchand Medcity|ISKCON Temple|Lajpat Nagar|Batra Hospital &amp; Medical Research Centre|Fortis La Femme|Fortis Escorts Heart Institute &amp; Research Centre|Pushpawati Singhania Research Institute|Siri Fort|Kalkaji|Batra Hospital & Medical Research Centre|Fortis Escorts Heart Institute & Research Centre,Balaji Residency,Hotel,Deluxe A/C Room,2.5
"2638-2642 Gurudwara Road,Karol Bagh",Delhi,Banquet Facilities|Barbecue Area|Business Center |Concierge|Currency Exchange|Doctor on Call|Dry Cleaning|Laundry Service Available|Lift / Elevator|Lobby|Non Smoking Rooms|Parking Facilities Available|Front Desk|Multi Cuisine Restaurant |Locker Facility|Secretarial Services|Local Tour / Travel Desk|Major Credit Cards Accepted|24 Hour Front Desk|Luggage Storage|Doorman|Medical Assistance Available|Air-Conditioning - Central|Welcome Drinks|Power Backup|Audio - Visual Equipment|Multi Lingual Staff|Wake-up Call / Service|Suitable For Children|Separate Sitting Area|Coffee Shop / Cafe|Conference Facility |ATM / Banking|Veranda|Open Air Restaurant / Dining |Veg / Non Veg Kitchens Separate |Vegetarian Food / Jain Food Available|Car Rental|Express Laundry|Water Dispenser Available|Taxi Services|Board Room|Rooftop Garden|Food Facility| Drivers Rest Room|Internet Access Free|Newspapers In Lobby|Family Room|Room Service (24 Hours)|STD / ISD|Baggage Room|Adjoining Rooms|RO Water Purification System|Outdoor Parking - Secured|Parking Facility|Internet Access|Restaurant|Room Service|CCTV|Full Time Operation for All 7 Days|Paid Transfers|Pest Control Facility|Public Restrooms|Stamps and Mailing Facility,International Airport|Domestic Airport|New Delhi Railway Station|India Gate|Red Fort|Lotus Temple|Nehru Place|Connaught Place|Jantar Mantar|Qutab Minar|Gurgaon|Birla Mandir|Karol Bagh Metro Station|Noida|Liberty Theatre|Jhandewalan Mandir|Gaffar Market|Shivaji Stadium|Karol Bagh Area|Talkatora Indoor Stadium|Sarai Rohilla Station|Ajmeri Gate|Karnail Singh Stadium|West Delhi,BB Palace-A Boutique Hotel,Hotel,Club Room,4
"85, gomes defence, III rd Avenue, vaishali nagar, Jaipur, Rajasthan",Jaipur,Doctor on Call|Lobby|Front Desk|Local Tour / Travel Desk,Others|K.L. Saini Stadium|BAPS Shri Swaminarayan Mandir,Art Inn Homestay,Homestay,Standared Room,3
51 Amri Nagar south ex,Delhi,Doctor on Call|Front Desk|24 Hour Front Desk,Safdarjung Station|Hungary Embassy|Dilli Haat|AIIMS|R. K. Khanna Tennis Stadium|Khan Market|ISKCON Temple|AASHLOK Hospital|Thyagaraj Sports Complex|Japanese Embassy|INA Market|French Cultural Center in India|South Extension|Hauz Khas|Lajpat Nagar Market|Embassy of Spain|Lajpat Nagar|Lodhi Gardens|Metro Station Hauz Khas|Deer Park|Embassy of The Arab Republic of Egypt|Masjid Moth|Hazrat Nizammudin Railway Station|Ethiopia Embassy|Humayuns Tomb|Jawaharlal Nehru Stadium|Moolchand Medcity|Sarojini Nagar Market|Safdarjang Hospital|Embassy of Israel|Siri Fort|Brazil Embassy,Arjun Homestay,Homestay,Deluxe,3.8
